EMP_NUM,SAL_FROM,SAL_END,SAL_AMOUNT
83304,10/19/2013, NULL ,27000
83304,10/18/2012,10/18/2013,25710
83304,10/18/2011,10/17/2012,23810
83304,10/19/2010,10/18/2011,23120
83304,10/20/2009,10/18/2010,22450
83304,10/19/2008,10/19/2009,21800
83304,10/19/2007,10/18/2008,20760
83304,10/20/2006,10/19/2007,19770
83308,12/8/2013, NULL ,51240
83308,12/10/2005,12/8/2006,34720
83308,12/9/2004,12/9/2005,33710
83308,12/9/2003,12/8/2004,32730
83308,12/10/2002,12/9/2003,30310
83308,12/11/2001,12/9/2002,28060
83308,12/10/2000,12/10/2001,26720
83308,12/10/1999,12/9/2000,25450
83308,12/11/1998,12/10/1999,24240
83308,12/12/1997,12/10/1998,23090
83308,12/11/1996,12/11/1997,22420
83308,12/11/1995,12/10/1996,21770
83308,12/12/1994,12/11/1995,21140
83308,12/13/1993,12/11/1994,20520
83308,12/12/1992,12/12/1993,19920
83308,12/12/1991,12/11/1992,18110
83308,12/13/1990,12/12/1991,16770
83308,12/14/1989,12/12/1990,16280
83308,12/13/1988,12/13/1989,15070
83308,12/13/1987,12/12/1988,14630
83308,12/14/1986,12/13/1987,14200
83308,12/15/1985,12/13/1986,13520
83308,12/14/1984,12/14/1985,13130
83308,12/14/1983,12/13/1984,12500
83308,12/15/1982,12/14/1983,12140
83308,12/16/1981,12/14/1982,11790
83308,12/15/1980,12/15/1981,11230
83308,12/7/2012,12/7/2013,47440
83308,12/7/2011,12/6/2012,45180
83308,12/8/2010,12/7/2011,43030
83308,12/9/2009,12/7/2010,39840
83308,12/8/2008,12/8/2009,38680
83308,12/8/2007,12/7/2008,37550
83308,12/9/2006,12/8/2007,35760
83312,12/13/2013, NULL ,42400
83312,12/12/2012,12/12/2013,39260
83314,2/10/2013, NULL ,44750
83314,2/10/2012,2/9/2013,41440
83314,2/11/2011,2/10/2012,40230
83314,2/12/2010,2/10/2011,39060
83314,2/11/2009,2/11/2010,36170
83314,2/11/2008,2/10/2009,35120
83314,2/12/2007,2/11/2008,34100
83314,2/13/2006,2/11/2007,33110
83314,2/12/2005,2/12/2006,32150
83314,2/12/2004,2/11/2005,29770
83314,2/13/2003,2/12/2004,28350
83314,2/14/2002,2/12/2003,27000
83314,2/13/2001,2/13/2002,26210
83314,2/13/2000,2/12/2001,24960
83314,2/14/1999,2/13/2000,24230
83314,2/15/1998,2/13/1999,23080
83314,2/14/1997,2/14/1998,22410
83314,2/14/1996,2/13/1997,21340
83314,2/15/1995,2/14/1996,20320
83314,2/16/1994,2/14/1995,19730
83314,2/15/1993,2/15/1994,19160
83314,2/15/1992,2/14/1993,18250
83314,2/16/1991,2/15/1992,17720
83314,2/17/1990,2/15/1991,17200
83314,2/16/1989,2/16/1990,16380
83314,2/16/1988,2/15/1989,15600
83314,2/17/1987,2/16/1988,15150
83318,5/3/2013, NULL ,28500
83318,5/2/2012,5/2/2013,27670
83318,5/2/2011,5/1/2012,26860
83318,5/3/2010,5/2/2011,24870
83318,5/4/2009,5/2/2010,23690
83318,5/3/2008,5/3/2009,23000
83318,5/3/2007,5/2/2008,22330
83321,9/2/2013, NULL ,52200
83321,9/1/2012,9/1/2013,50680
83321,9/1/2011,8/31/2012,49200
83321,9/2/2010,9/1/2011,44730
83321,9/3/2009,9/1/2010,43430
83321,9/2/2008,9/2/2009,42170
83321,9/2/2007,9/1/2008,40160
83321,9/3/2006,9/2/2007,38250
83321,9/4/2005,9/2/2006,37140
83321,9/3/2004,9/3/2005,36060
83321,9/3/2003,9/2/2004,34340
83321,9/4/2002,9/3/2003,33340
83321,9/5/2001,9/3/2002,32370
83321,9/4/2000,9/4/2001,29430
83321,9/4/1999,9/3/2000,28570
83321,9/5/1998,9/4/1999,26450
83321,9/6/1997,9/4/1998,25680
83321,9/5/1996,9/5/1997,24460
83321,9/5/1995,9/4/1996,23300
83321,9/6/1994,9/5/1995,22620
83321,9/7/1993,9/5/1994,21960
83321,9/6/1992,9/6/1993,20910
83321,9/6/1991,9/5/1992,19360
83321,9/7/1990,9/6/1991,18800
83321,9/8/1989,9/6/1990,18250
83332,3/7/2013, NULL ,34500
83332,3/6/2012,3/6/2013,33500
83332,3/6/2011,3/5/2012,31900
83332,3/7/2010,3/6/2011,30970
83332,3/8/2009,3/6/2010,30070
83332,3/7/2008,3/7/2009,27340
83332,3/7/2007,3/6/2008,26040
83332,3/8/2006,3/7/2007,24800
